week,publish_date,content_type,working_title,primary_query,target_url,search_intent,supporting_pillar,internal_links_to_add,original_evidence_needed,status,owner
1,2026-07-20,Blog,Kayseri'de Web Sitesi Yaptırırken Nelere Dikkat Edilmeli?,kayseri web sitesi yaptırma,https://barbarossoft.com.tr/kayseri-web-tasarim,Yerel web tasarım araştırması,https://barbarossoft.com.tr/kayseri-web-tasarim,/kayseri-web-tasarim|/kurumsal-web-tasarim|/iletisim,Yerel proje örnekleri ve kullanıcı soruları,brief_hazir_yayinlanmadi,Barbarossoft
2,2026-07-27,Blog,Kurumsal Web Sitesinde Mutlaka Bulunması Gereken Bölümler,kurumsal web sitesi bölümleri,https://barbarossoft.com.tr/kurumsal-web-tasarim,Ticari araştırma,https://barbarossoft.com.tr/kurumsal-web-tasarim,/kurumsal-web-tasarim|/projeler,Gerçek kurumsal site ekranları,brief_hazir_yayinlanmadi,Barbarossoft
3,2026-08-03,Blog,Web Sitesi Google'da Neden Görünmez? Teknik Kontrol Listesi,web sitesi google'da neden görünmez,https://barbarossoft.com.tr/kayseri-seo,Problem çözme,https://barbarossoft.com.tr/kayseri-seo,/kayseri-seo|/yerel-seo,Search Console ekran görüntüsü izni,brief_hazir_yayinlanmadi,Barbarossoft
4,2026-08-10,Blog,Yerel SEO Nedir? Kayseri'deki İşletmeler İçin Uygulama Rehberi,yerel seo nedir,https://barbarossoft.com.tr/yerel-seo,Bilgilendirici,https://barbarossoft.com.tr/yerel-seo,/yerel-seo|/kayseri-seo|/google-haritalar-optimizasyonu,Gerçek hizmet alanı örnekleri,brief_hazir_yayinlanmadi,Barbarossoft
5,2026-08-17,Blog,Google Haritalar'da İşletmeler Neden Farklı Sıralarda Görünür?,google haritalar sıralama,https://barbarossoft.com.tr/google-haritalar-optimizasyonu,Bilgilendirici,https://barbarossoft.com.tr/google-haritalar-optimizasyonu,/google-haritalar-optimizasyonu|/yerel-seo,GBP ekran görüntüsü izni,brief_hazir_yayinlanmadi,Barbarossoft
6,2026-08-24,Blog,Google İşletme Profili İçin Doğru Kategori Nasıl Seçilir?,google işletme profili kategori seçimi,https://barbarossoft.com.tr/google-haritalar-optimizasyonu,Uygulama rehberi,https://barbarossoft.com.tr/google-haritalar-optimizasyonu,/google-haritalar-optimizasyonu|/yerel-seo,Doğrulanmış kategori örnekleri,brief_hazir_yayinlanmadi,Barbarossoft
7,2026-08-31,Blog,Google Ads Reklamı Neden Görünmez?,google ads reklamları neden görünmez,https://barbarossoft.com.tr/google-ads-yonetimi,Problem çözme,https://barbarossoft.com.tr/google-ads-yonetimi,/google-ads-yonetimi|/iletisim,Reklam hesabı ekran izni,brief_hazir_yayinlanmadi,Barbarossoft
8,2026-09-07,Blog,Negatif Anahtar Kelime Nedir ve Bütçeyi Nasıl Korur?,negatif anahtar kelime nedir,https://barbarossoft.com.tr/google-ads-yonetimi,Uygulama rehberi,https://barbarossoft.com.tr/google-ads-yonetimi,/google-ads-yonetimi|/blog/google-ads-reklamlari-neden-gorunmeyebilir,Gerçek arama terimi örnekleri,brief_hazir_yayinlanmadi,Barbarossoft
9,2026-09-14,Blog,Web Sitesinden Gelen WhatsApp Tıklamaları Nasıl Ölçülür?,whatsapp tıklama ölçümü,https://barbarossoft.com.tr/kayseri-web-tasarim,Uygulama rehberi,https://barbarossoft.com.tr/kayseri-web-tasarim,/kayseri-web-tasarim|/google-ads-yonetimi|/iletisim,GA4 event ekran görüntüsü,brief_hazir_yayinlanmadi,Barbarossoft
10,2026-09-21,Blog,SEO ve Google Ads Arasındaki Fark Nedir?,seo ve google ads farkı,https://barbarossoft.com.tr/kayseri-seo,Karşılaştırma,https://barbarossoft.com.tr/kayseri-seo,/kayseri-seo|/google-ads-yonetimi,Gerçek kampanya/organik veri izni,brief_hazir_yayinlanmadi,Barbarossoft
11,2026-09-28,Vaka çalışması,Gerçek Bir Müşteri Vaka Çalışması,web tasarım vaka çalışması,https://barbarossoft.com.tr/projeler,Güven ve değerlendirme,https://barbarossoft.com.tr/projeler,/projeler|/kurumsal-web-tasarim|/kayseri-seo,Müşteri izinleri ve gerçek sonuç verileri,brief_hazir_yayinlanmadi,Barbarossoft
12,2026-10-05,Blog,Web Sitesi Yenileme Zamanının Geldiğini Gösteren İşaretler,web sitesi yenileme,https://barbarossoft.com.tr/kayseri-web-tasarim,Ticari araştırma,https://barbarossoft.com.tr/kayseri-web-tasarim,/kayseri-web-tasarim|/web-sitesi-bakim-hizmeti,Mevcut site audit örnekleri,brief_hazir_yayinlanmadi,Barbarossoft
