source_url,target_url,recommended_anchor,context,implemented
https://barbarossoft.com.tr/,https://barbarossoft.com.tr/kayseri-web-tasarim,Kayseri web tasarım,Ana sayfa ana hizmet kartı,true
https://barbarossoft.com.tr/,https://barbarossoft.com.tr/kurumsal-web-tasarim,Kurumsal web tasarım,Ana sayfa ana hizmet kartı,true
https://barbarossoft.com.tr/,https://barbarossoft.com.tr/kayseri-seo,Kayseri SEO,Ana sayfa ana hizmet kartı,true
https://barbarossoft.com.tr/,https://barbarossoft.com.tr/yerel-seo,Yerel SEO,Ana sayfa ana hizmet kartı,true
https://barbarossoft.com.tr/,https://barbarossoft.com.tr/google-haritalar-optimizasyonu,Google Haritalar optimizasyonu,Ana sayfa ana hizmet kartı,true
https://barbarossoft.com.tr/,https://barbarossoft.com.tr/google-ads-yonetimi,Google Ads yönetimi,Ana sayfa ana hizmet kartı,true
https://barbarossoft.com.tr/kayseri-seo,https://barbarossoft.com.tr/yerel-seo,yerel SEO,SEO hizmet sayfası kavramsal local SEO'ya bağlanır,true
https://barbarossoft.com.tr/kayseri-seo,https://barbarossoft.com.tr/google-haritalar-optimizasyonu,Google İşletme Profili uyumu,SEO hizmet sayfasında harita odağı,true
https://barbarossoft.com.tr/yerel-seo,https://barbarossoft.com.tr/google-haritalar-optimizasyonu,Google Haritalar optimizasyonu,Yerel sinyallerden GBP sayfasına geçiş,true
https://barbarossoft.com.tr/kurumsal-web-tasarim,https://barbarossoft.com.tr/kayseri-web-tasarim,Kayseri web tasarım hizmeti,Kurumsal web sayfasından yerel ticari sayfaya geçiş,true
https://barbarossoft.com.tr/kayseri-web-tasarim,https://barbarossoft.com.tr/blog/kayseride-web-sitesi-yaptirirken-nelere-dikkat-edilmeli,web sitesi yaptırırken dikkat edilecekler,İlgili rehber,true
https://barbarossoft.com.tr/kurumsal-web-tasarim,https://barbarossoft.com.tr/blog/kurumsal-web-sitesinde-mutlaka-bulunmasi-gereken-bolumler,kurumsal web sitesi bölümleri,İlgili rehber,true
https://barbarossoft.com.tr/google-ads-yonetimi,https://barbarossoft.com.tr/blog/google-ads-reklamlari-neden-gorunmeyebilir,Google Ads reklamları neden görünmez,İlgili rehber,true
https://barbarossoft.com.tr/google-haritalar-optimizasyonu,https://barbarossoft.com.tr/blog/google-haritalarda-isletme-siralamasi-nasil-guclendirilir,Haritalar sıralaması,İlgili rehber,true
https://barbarossoft.com.tr/projeler,https://barbarossoft.com.tr/kurumsal-web-tasarim,kurumsal web tasarım,Portfolyodan hizmete geçiş,true
https://barbarossoft.com.tr/projeler,https://barbarossoft.com.tr/kayseri-seo,Kayseri SEO,Portfolyodan SEO hizmetine geçiş,true
